"Paper_ID","Title","Paper_Year","Country","State","Lat","Long","Research_Focus"
20,"Assimilatory Capacity Effects on Soybean Yield Components and Pod Number",1995,"USA","Louisiana",30.6954,-91.139,"Assimilatory capacity"
21,"Biomass, Harvest Index and Yield in Relation to changes in photo-thermal regimes in soybean genotypes",2011,"India","Punjab",31.104,75.1469,"Photo-thermal regimes"
22,"Plant density effects on growth, yield and yield components of two soybean varieties under equidistant planting arrangement",2011,"Bangladesh","Mymensingh",24.747,90.4113,"Plant density"
23,"Characteristics of Yield and Harvest Index, and Evaluation of Balanced Nutrient Uptake of Soybean in Northeast China",2019,"China","Liaoning",41.045,122.195,"Nutrient uptake"
24,"Relationships Between Harvest Indices and other Plant Characteristics in Soybean",1980,"USA","Indiana",40.4169,-86.8753,"Harvest index relationships"
25,"Studying the Effects of Different Planting Dates on Biological Yield, Harvest Index and Some Morphological Features of Soybean Cultivars in Cold Region of Ardabil",2011,"Iran","Ardabil",38.2484,48.2946,"Planting dates"
26,"Effect of Sowing Date on Yield and Seed Quality of Soybean",2016,"Bangladesh","Dhaka",23.8103,90.4143,"Sowing date"
27,"Yield and yield Components of Soybean Cultivars as Affected by Planting Date",2013,"Iran","Ilam",33.6167,46.4667,"Planting date"
28,"BIOLOGICAL AND INORGANIC FERTILIZER APPLICATIONS IMPROVED GROWTH, NODULATION AND YIELD OF SOYBEAN",2018,"Ethiopia","Addis Ababa",9.03,38.74,"Fertilizer effects"
29,"Lodging dynamics and seed yield for two soybean genotypes with contrasting lodging-susceptibility",2025,"Argentina","Zavalla",-33.0167,-60.8833,"Lodging dynamics"
30,"Assessing soybean yield in Madhya Pradesh by using a multi-model approach",2025,"India","Madhya Pradesh",22.7,75.8,"Yield modeling"
31,"COMPARISON OF YIELD PERFORMANCE OF SOYBEAN VARIETIES UNDER SEMI-ARID CONDITIONS",2013,"Pakistan","Faisalabad",31.5204,73.6833,"Variety comparison"
32,"Response of soybean varieties to different sowing times",2017,"India","Tirupati",13.6288,79.4192,"Sowing times"
33,"Changes in soybean cultivars released over the past 50 years in southern Brazil",2022,"Brazil","Parana",-23.5505,-51.855,"Cultivar changes"
34,"Yield and water-use related traits in landrace and new soybean cultivars in arid and semi-arid areas of China",2022,"China","Yuzhong",29.6667,106.5667,"Water-use traits"
35,"Effect of Preplant Fertilizer on Agronomic and Physiological Traits of Soybean Cultivars from Different Breeding Programs",2010,"China","Liaoning",41.8057,123.4315,"Fertilizer effects"
36,"Soybean profitability and yield component response to nitrogen fertilizer in Iowa",2020,"USA","Iowa",42.057,-93.876,"Nitrogen response"
37,"Physiological and Phenological Responses of Historical Soybean Cultivar Releases to Earlier Planting",2014,"USA","Wisconsin",43.2955,-89.3676,"Historical cultivars"
37,"Physiological and Phenological Responses of Historical Soybean Cultivar Releases to Earlier Planting",2014,"USA","Illinois",40.1106,-88.2073,"Historical cultivars"
37,"Physiological and Phenological Responses of Historical Soybean Cultivar Releases to Earlier Planting",2014,"USA","Indiana",40.4169,-86.8753,"Historical cultivars"
38,"Interplay between nitrogen fertilizer and biological nitrogen fixation in soybean: implications on seed yield and biomass allocation",2018,"USA","Midwest",41.5,-90,"Nitrogen fixation"
39,"Agronomic traits of soybean cultivars released in different decades after grafting record-yield cultivar as rootstock",2017,"China & USA","Liaoning",41.2955,122.3417,"Grafting effects"
39,"Agronomic traits of soybean cultivars released in different decades after grafting record-yield cultivar as rootstock",2017,"China & USA","Ohio",40.4173,-82.9071,"Grafting effects"
40,"Historical gains in soybean seed yield are driven by linear increases in light interception, energy conversion, and partitioning efficiencies",2014,"USA","Illinois",40,-88.2333,"Yield efficiency"
41,"Shifts in Soybean Yield, Nutrient Uptake, and Nutrient Stoichiometry: A Historical Synthesis-Analysis",2018,"USA","Kansas",39.1836,-96.5717,"Nutrient stoichiometry"
42,"Harvest Index of Soybeans as Affected by Planting Date and Maturity Rating",1979,"USA","Missouri",38.95,-92.33,"Harvest index"
43,"High-yield factors in the new soybean cultivar 'Soramizuki' derived from a US parent cultivar",2025,"Japan","Ibaraki",36,140.01,"High-yield factors"
